"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "HTML", "TypeScript", "Less", "XML", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\.prettierrc.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\README-zh_CN.md", "Markdown", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 30, 90
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\README.md", "Markdown", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 30, 91
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\_mock\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\_mock\_user.ts", "TypeScript", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 8, 123
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\_mock\index.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\angular.json", "JSON", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 1, 192
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\karma.conf.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 45
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\ng-alain.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\ngsw-config.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 45
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\package-lock.json", "JSON", 42565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42566
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\package.json", "JSON", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\proxy.conf.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 18
