Date : 2022-08-30 08:49:02
Directory : c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend
Total : 204 files,  54648 codes, 1030 comments, 1136 blanks, all 56814 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |     43,215 |        150 |          7 |     43,372 |
| TypeScript         |        126 |      5,049 |        569 |        840 |      6,458 |
| Less               |          8 |      3,664 |         13 |         50 |      3,727 |
| HTML               |         24 |      1,756 |        238 |         41 |      2,035 |
| SCSS               |         19 |        627 |         12 |        121 |        760 |
| Markdown           |          8 |        130 |          0 |         69 |        199 |
| XML                |          4 |        127 |          4 |          4 |        135 |
| JavaScript         |          3 |         52 |         21 |          4 |         77 |
| JSON with Comments |          1 |         26 |         23 |          0 |         49 |
| CSS                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |        204 |     54,648 |      1,030 |      1,136 |     56,814 |
| _mock                                                                                                                                   |          3 |        117 |          0 |         10 |        127 |
| src                                                                                                                                     |        188 |     11,529 |        836 |      1,057 |     13,422 |
| src\app                                                                                                                                 |        166 |      7,208 |        719 |        976 |      8,903 |
| src\app\core                                                                                                                            |          6 |        282 |         76 |         44 |        402 |
| src\app\core\net                                                                                                                        |          1 |        185 |         51 |         25 |        261 |
| src\app\core\startup                                                                                                                    |          1 |         75 |         24 |         10 |        109 |
| src\app\layout                                                                                                                          |         12 |        484 |          2 |         58 |        544 |
| src\app\layout\basic                                                                                                                    |          6 |        276 |          0 |         26 |        302 |
| src\app\layout\basic\widgets                                                                                                            |          4 |        196 |          0 |         21 |        217 |
| src\app\layout\blank                                                                                                                    |          2 |         10 |          0 |          3 |         13 |
| src\app\layout\passport                                                                                                                 |          3 |        139 |          0 |         23 |        162 |
| src\app\pages                                                                                                                           |         80 |      4,074 |        351 |        453 |      4,878 |
| src\app\pages\login                                                                                                                     |         20 |        838 |         34 |        103 |        975 |
| src\app\pages\login\enterprise                                                                                                          |          4 |        182 |          4 |         23 |        209 |
| src\app\pages\login\register                                                                                                            |          4 |        248 |         10 |         26 |        284 |
| src\app\pages\login\staffer                                                                                                             |          6 |        243 |         20 |         35 |        298 |
| src\app\pages\main                                                                                                                      |         60 |      3,236 |        317 |        350 |      3,903 |
| src\app\pages\main\dashboard                                                                                                            |          6 |         54 |          0 |         20 |         74 |
| src\app\pages\main\production                                                                                                           |         22 |      1,084 |        142 |        129 |      1,355 |
| src\app\pages\main\production\color                                                                                                     |          4 |        274 |         71 |         32 |        377 |
